INFO:gensim.models.word2vec:collecting all words and their counts
INFO:gensim.models.word2vec:PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #10000, processed 400826 words, keeping 269 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #20000, processed 801597 words, keeping 269 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #30000, processed 1202307 words, keeping 269 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #40000, processed 1603045 words, keeping 270 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #50000, processed 2003820 words, keeping 270 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #60000, processed 2404657 words, keeping 270 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #70000, processed 2805401 words, keeping 270 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #80000, processed 3206079 words, keeping 270 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #90000, processed 3606893 words, keeping 270 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #100000, processed 4007578 words, keeping 270 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #110000, processed 4408364 words, keeping 270 word types
INFO:gensim.models.word2vec:collected 270 word types from a corpus of 4643403 raw words and 115865 sentences
INFO:gensim.models.word2vec:Creating a fresh vocabulary
INFO:gensim.utils:Word2Vec lifecycle event {'msg': 'effective_min_count=5 retains 269 unique words (99.63% of original 270, drops 1)', 'datetime': '2023-11-06T20:48:59.422115', 'gensim': '4.3.2', 'python': '3.11.6 (tags/v3.11.6:8b6ee5b, Oct  2 2023, 14:57:12) [MSC v.1935 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22621-SP0', 'event': 'prepare_vocab'}
INFO:gensim.utils:Word2Vec lifecycle event {'msg': 'effective_min_count=5 leaves 4643399 word corpus (100.00% of original 4643403, drops 4)', 'datetime': '2023-11-06T20:48:59.422115', 'gensim': '4.3.2', 'python': '3.11.6 (tags/v3.11.6:8b6ee5b, Oct  2 2023, 14:57:12) [MSC v.1935 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22621-SP0', 'event': 'prepare_vocab'}
INFO:gensim.models.word2vec:deleting the raw counts dictionary of 270 items
INFO:gensim.models.word2vec:sample=0.001 downsamples 97 most-common words
INFO:gensim.utils:Word2Vec lifecycle event {'msg': 'downsampling leaves estimated 2379141.70249999 word corpus (51.2%% of prior 4643399)', 'datetime': '2023-11-06T20:48:59.427126', 'gensim': '4.3.2', 'python': '3.11.6 (tags/v3.11.6:8b6ee5b, Oct  2 2023, 14:57:12) [MSC v.1935 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22621-SP0', 'event': 'prepare_vocab'}
INFO:gensim.models.word2vec:estimated required memory for 269 words and 256 dimensions: 685412 bytes
INFO:gensim.models.word2vec:resetting layer weights
INFO:gensim.utils:Word2Vec lifecycle event {'update': False, 'trim_rule': 'None', 'datetime': '2023-11-06T20:48:59.433735', 'gensim': '4.3.2', 'python': '3.11.6 (tags/v3.11.6:8b6ee5b, Oct  2 2023, 14:57:12) [MSC v.1935 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22621-SP0', 'event': 'build_vocab'}
INFO:gensim.utils:Word2Vec lifecycle event {'msg': 'training model with 3 workers on 269 vocabulary and 256 features, using sg=1 hs=0 sample=0.001 negative=5 window=40 shrink_windows=True', 'datetime': '2023-11-06T20:48:59.433735', 'gensim': '4.3.2', 'python': '3.11.6 (tags/v3.11.6:8b6ee5b, Oct  2 2023, 14:57:12) [MSC v.1935 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22621-SP0', 'event': 'train'}
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 2.79% examples, 63523 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 5.80% examples, 64452 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 9.02% examples, 67436 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 12.03% examples, 67965 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 15.04% examples, 68327 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 18.05% examples, 68373 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 21.06% examples, 68474 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 24.28% examples, 69063 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 27.29% examples, 69242 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 30.30% examples, 68948 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 33.31% examples, 69083 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 36.53% examples, 69541 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 39.54% examples, 69542 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 42.33% examples, 69142 words/s, in_qsize 0, out_qsize 1
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 45.56% examples, 69524 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 48.56% examples, 69455 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 51.79% examples, 69680 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 54.80% examples, 69674 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 57.81% examples, 69679 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 60.81% examples, 69765 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 63.82% examples, 69785 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 66.83% examples, 69772 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 69.84% examples, 69804 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 72.85% examples, 69841 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 75.86% examples, 69881 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 78.87% examples, 69848 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 81.87% examples, 69730 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 85.10% examples, 69911 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 88.11% examples, 69951 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 91.12% examples, 69881 words/s, in_qsize 0, out_qsize 0
